State,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2014_unemp,2015_unemp,2016_unemp,2017_unemp,2018_unemp,2018_health,2017_health,2016_health,2015_health,2014_health,2018_edu,2017_edu,2016_edu,2015_edu,2014_edu,2018_crime,2017_crime,2016_crime,2015_crime,2014_crime,2014_total,2015_total,2016_total,2017_total,2018_total,2014_rank,2015_rank,2016_rank,2017_rank,2018_rank,2014,2015,2016,2017,2018
NV,0.04579192793240749,0.04605367217792165,0.046142871123400264,0.04625264117627081,0.04632637057668712,-1.0,-0.9756097560975608,-0.7000000000000001,-0.5869565217391304,-0.5238095238095238,0.4199999999999998,0.431506849315069,0.3900709219858158,0.33098591549295786,0.24203821656050956,0.39641943734015345,0.45013477088948795,0.4388888888888889,0.4339622641509434,0.44134078212290506,-0.49723195119195573,-0.49880965876884703,-0.5131079203334877,-0.5020415254973504,-0.46763157894736845,-0.7384606523315465,-0.6666494297730883,-0.3380052383353828,-0.15787191912714965,-0.1582956670846392,49.0,49.0,47.0,47.0,47.0,3,3,3,3,3
NH,0.018544614696358513,0.01843523193167475,0.01841328953946446,0.01775545740101398,0.017566528086371946,-0.3076923076923076,-0.14634146341463414,-0.0,-0.0652173913043479,-0.023809523809523836,0.8333333333333334,0.8013698630136984,0.7234042553191484,0.7112676056338023,0.6178343949044584,0.49872122762148335,0.5256064690026956,0.49444444444444446,0.4851752021563342,0.5083798882681565,-0.07411591910518585,-0.08513773948531912,-0.07021769337656324,-0.07062809486578057,-0.08342105263157894,0.7536455375450868,0.9979084814413967,1.166044295926494,1.194376658627741,1.251695646126479,6.0,3.0,3.0,3.0,2.0,1,1,1,1,1
NJ,0.22147405002740006,0.21510433077386723,0.2108192565651065,0.20202627233194634,0.19910334125630622,-0.7884615384615383,-0.7317073170731706,-0.525,-0.47826086956521735,-0.40476190476190477,0.6866666666666664,0.6712328767123291,0.6312056737588649,0.5774647887323945,0.5159235668789809,0.16368286445012786,0.18598382749326153,0.17777777777777773,0.18598382749326142,0.2011173184357542,-0.10914021014574624,-0.12606280467067227,-0.11069939786938397,-0.11936408652593174,-0.13885964912280702,0.011193747757789807,0.12748154340042084,0.3841033102323651,0.4549193023016473,0.5355507574654496,29.0,31.0,26.0,23.0,22.0,2,2,2,2,2
NM,0.026975810629811407,0.026019571613199163,0.024908708832904906,0.023696184057243008,0.023482791377174534,-0.7692307692307692,-0.9024390243902438,-0.9249999999999999,-0.7608695652173915,-0.5952380952380955,0.5600000000000004,0.568493150684932,0.5390070921985813,0.42957746478873193,0.27388535031847133,0.40664961636828656,0.42587601078167125,0.413888888888889,0.4150943396226415,0.42737430167597773,-0.8256694158852106,-0.7459471715225031,-0.533024548402038,-0.46746590218052303,-0.4342982456140351,-0.47529355222054387,-0.4992135505461943,-0.4802198584816627,-0.48875139121604827,-0.4307751033778445,46.0,47.0,49.0,49.0,49.0,3,3,3,3,3
NY,0.5947074267283368,0.5774618234251305,0.5727872214244448,0.553317755048408,0.546442736172043,-0.6923076923076922,-0.6097560975609755,-0.5000000000000001,-0.5000000000000001,-0.40476190476190477,0.826666666666667,0.8013698630136984,0.7446808510638301,0.6971830985915496,0.668789808917198,0.2710997442455243,0.2991913746630729,0.2666666666666666,0.2641509433962263,0.26536312849162014,-0.2698000225963168,-0.2726448248497903,-0.23214451134784625,-0.22734775432195292,-0.2474561403508772,0.5890965314785854,0.701692013529978,0.8519902278070952,0.8812341678753888,0.9696472197260126,10.0,11.0,10.0,9.0,6.0,1,1,1,1,1
NC,0.19457258353952903,0.19154363117274148,0.18910290476211472,0.18597758915829224,0.18149979079633166,-0.6923076923076922,-0.7073170731707317,-0.5499999999999999,-0.4565217391304348,-0.3571428571428572,0.45333333333333314,0.45890410958904104,0.4326241134751771,0.4014084507042255,0.3757961783439488,0.21483375959079284,0.28301886792452835,0.24444444444444446,0.25606469002695414,0.22905027932960895,-0.2759010281324144,-0.28318784718285905,-0.22955071792496526,-0.1989401442098862,-0.19868421052631582,-0.09157286162092126,-0.05724044547669682,0.08662074475677109,0.18819098035856774,0.216622998445186,38.0,38.0,37.0,37.0,34.0,3,3,3,3,2
ND,0.012966312068420506,0.011778121812534296,0.009825540288392503,0.009784891914963265,0.010048977798014423,-0.0,-0.0,-0.050000000000000044,-0.0652173913043479,-0.04761904761904767,0.6666666666666666,0.678082191780822,0.624113475177305,0.6126760563380282,0.7006369426751597,0.1969309462915601,0.21024258760107822,0.1861111111111111,0.19407008086253366,0.20670391061452523,-0.19444130606711107,-0.18353928126062805,-0.11866604909680407,-0.10546433845886545,-0.14719298245614035,0.7731141829019651,0.7130599205542307,0.6513840774800045,0.6493529987318876,0.6315862370700824,4.0,9.0,15.0,17.0,18.0,1,1,1,1,2
OH,0.24482749481872523,0.23610588279569653,0.2312034036215152,0.22339888899411695,0.2177924573364726,-0.596153846153846,-0.5121951219512195,-0.525,-0.5652173913043479,-0.5238095238095238,0.7466666666666668,0.7945205479452055,0.7801418439716316,0.7394366197183098,0.6815286624203819,0.1099744245524297,0.1428571428571429,0.12222222222222218,0.1347708894878706,0.13966480446927376,-0.2065303355553045,-0.19975059517061558,-0.1701713756368689,-0.15107288680392666,-0.1606140350877193,0.30925308046681554,0.44704538324673077,0.4383960941785,0.395808593321502,0.3440936891907407,21.0,20.0,24.0,26.0,28.0,2,2,2,2,2
OK,0.07204199919805314,0.07213433898091613,0.06821676090995596,0.065580213627053,0.06417158503464418,-0.3461538461538461,-0.39024390243902446,-0.475,-0.39130434782608703,-0.23809523809523814,0.26666666666666666,0.2328767123287674,0.1985815602836878,0.19718309859154906,0.24840764331210155,0.32480818414322254,0.3638814016172508,0.3305555555555556,0.339622641509434,0.32402234636871513,-0.40967122359055475,-0.3818161206212447,-0.30690134321445117,-0.26409521327425944,-0.27298245614035094,0.025335686584672834,-0.0453990366313847,-0.18454746646525175,-0.11078214087426053,0.007879974158740533,28.0,37.0,42.0,45.0,42.0,2,3,3,3,3
OR,0.06838734983967855,0.06907407126050596,0.07032400652423956,0.07015330179138798,0.07100051534838007,-0.7884615384615383,-0.6829268292682925,-0.475,-0.3695652173913043,-0.4285714285714287,0.7,0.7260273972602741,0.7375886524822692,0.7042253521126759,0.5923566878980894,0.26854219948849106,0.30188679245283023,0.2777777777777778,0.27223719676549857,0.2737430167597766,-0.2015591458592249,-0.18115859879832216,-0.13413617415470125,-0.12318651724437496,-0.13736842105263158,0.00865709498337458,0.2394232736260129,0.47655426262958533,0.5473436753148658,0.4094121404062175,30.0,25.0,21.0,21.0,24.0,2,2,2,2,2
PA,0.28769192712531955,0.2806071036526065,0.274736274565323,0.26459578060413663,0.2579724444127854,-0.6153846153846154,-0.6097560975609755,-0.6250000000000001,-0.5434782608695654,-0.45238095238095244,0.8066666666666672,0.8150684931506849,0.7659574468085107,0.7535211267605634,0.668789808917198,0.3350383631713555,0.35849056603773594,0.36944444444444446,0.3530997304582211,0.3128491620111732,-0.21850638345949608,-0.21811585987983223,-0.17776748494673458,-0.17122752150117282,-0.1863157894736842,0.4676304931953911,0.6062443418092426,0.6073706808715436,0.6765607190431597,0.7287901384103594,17.0,15.0,17.0,16.0,14.0,1,1,1,1,1
RI,0.010498284118570279,0.01017896327261055,0.009795542203245947,0.009198041805584528,0.008752047037905976,-0.9615384615384615,-0.7804878048780487,-0.5750000000000001,-0.43478260869565233,-0.40476190476190477,0.9133333333333336,0.8835616438356163,0.8794326241134749,0.8309859154929574,0.7643312101910834,0.1790281329923274,0.21024258760107822,0.17777777777777773,0.19407008086253366,0.19832402234636878,-0.12179414755394871,-0.12878358462759323,-0.10662343677628532,-0.10815741464685953,-0.10289473684210527,-0.0912796817245443,0.14658974010319342,0.38538250731821316,0.5394360799190335,0.5745574610477134,37.0,27.0,25.0,22.0,20.0,3,2,2,2,2
SC,0.07052745759950861,0.0699645363360957,0.07029329965876292,0.06885945119498924,0.06815571271770467,-0.7307692307692307,-0.7804878048780487,-0.525,-0.41304347826086957,-0.23809523809523814,0.4800000000000002,0.431506849315069,0.4751773049645384,0.4366197183098593,0.3503184713375799,0.20204603580562658,0.21293800539083568,0.22499999999999995,0.21293800539083554,0.2402234636871509,-0.43927239859902834,-0.43702528058043305,-0.35460861509958314,-0.33576578924506995,-0.34666666666666673,-0.41636650481165804,-0.3967313340863281,-0.10913801047628188,-0.13676445294040873,0.07283411182906496,45.0,44.0,41.0,46.0,40.0,3,3,3,3,3
SD,0.007154582529467891,0.0071061436581985075,0.006949309708934454,0.006518939153565964,0.0064414626253447875,-0.13461538461538455,-0.07317073170731712,-0.025000000000000022,-0.17391304347826095,-0.1428571428571429,0.5533333333333331,0.5616438356164383,0.5886524822695036,0.40845070422535185,0.5796178343949046,0.1585677749360614,0.19137466307277634,0.14722222222222225,0.16442048517520208,0.170391061452514,-0.3213196249011411,-0.3505271511166535,-0.2760537285780454,-0.23030145078620454,-0.1979824561403509,0.42456563762115096,0.27650515056523073,0.44177028562261494,0.23509724324786613,0.2541658031364553,18.0,24.0,23.0,33.0,33.0,2,2,2,2,2
TN,0.11908438594427181,0.11826702688848695,0.11704676419004538,0.11500011190086107,0.11210276217320703,-0.7499999999999999,-0.6829268292682925,-0.45000000000000007,-0.30434782608695654,-0.261904761904762,0.5,0.5479452054794517,0.5319148936170215,0.47183098591549305,0.4585987261146493,0.23017902813299235,0.25336927223719685,0.22499999999999995,0.2371967654986522,0.2402234636871509,-0.5856965314653712,-0.6058270037410723,-0.476609541454377,-0.42924159499609077,-0.44570175438596493,-0.37779517863989276,-0.284873645961751,-0.05264788364731027,0.00613975978948067,-0.005319503063933806,43.0,42.0,39.0,40.0,43.0,3,3,3,3,3
